base_stop_addition_canonical_route_id,variant_stop_addition_canonical_route_id,added_stop_uetds_yer_id,added_stop_index,base_stop_count,variant_stop_count,base_stop_list,variant_stop_list,added_stop_name,base_route_names,variant_route_names,base_historical_trip_rows,base_historical_company_count,base_first_trip_date,base_last_trip_date,base_total_passenger_count,variant_historical_trip_rows,variant_historical_company_count,variant_first_trip_date,variant_last_trip_date,variant_total_passenger_count
5313055085062003488,1507430287801352,151,5,10,11,"[186, 17476, 125, 12616, 50, 147, 36, 9, 1645, 3003]","[186, 17476, 125, 12616, 50, 151, 147, 36, 9, 1645, 3003]",MANİSA KULA TERMİNALİ,ANKARA YENİMAHALLE TERMİNALİ (ÖZEL) -> POLATLI İZNLİ  NOKTA -> AFYONKARAHİSAR MERKEZ TERMİNALİ (ÖZEL) -> UŞAK-BANAZ -> UŞAK MERKEZ TERMİNALİ -> MANİSA SALİHLİ TERMİNALİ -> MANİSA TURGUTLU TERMİNALİ (ÖZEL) -> İZMİR BORNOVA TERMİNALİ (ÖZEL) -> İZMİR BÜYÜKŞEHİR BELEDİYESİ   SELÇUK ŞEHİRLERARASI OTOBÜS TERMİNALİ -> AYDIN KUŞADASI TERMİNALİ,ANKARA YENİMAHALLE TERMİNALİ (ÖZEL) -> POLATLI İZNLİ  NOKTA -> AFYONKARAHİSAR MERKEZ TERMİNALİ (ÖZEL) -> UŞAK-BANAZ -> UŞAK MERKEZ TERMİNALİ -> MANİSA KULA TERMİNALİ -> MANİSA SALİHLİ TERMİNALİ -> MANİSA TURGUTLU TERMİNALİ (ÖZEL) -> İZMİR BORNOVA TERMİNALİ (ÖZEL) -> İZMİR BÜYÜKŞEHİR BELEDİYESİ   SELÇUK ŞEHİRLERARASI OTOBÜS TERMİNALİ -> AYDIN KUŞADASI TERMİNALİ,4520.0,1.0,2023-01-01,2026-04-14,224972.0,67.0,1.0,2025-07-04,2026-04-04,2603.0
1597378832032218205,36416462134826620,1420,2,6,7,"[19366, 17386, 60, 114, 98, 186]","[19366, 17386, 1420, 60, 114, 98, 186]",,KAHRAMANMARAŞ YOLCU TERMİNALİ -> GÖKSUN BELEDİYESİ -> KAYSERİ BÜYÜKŞEHİR ŞEHİRLERARASI VE İLÇELER OTOGARI -> KIRŞEHİR MERKEZ TERMİNALİ -> KIRIKKALE OTOBÜS TERMİNALİ -> ANKARA YENİMAHALLE TERMİNALİ (ÖZEL),KAHRAMANMARAŞ YOLCU TERMİNALİ -> GÖKSUN BELEDİYESİ -> 1420 -> KAYSERİ BÜYÜKŞEHİR ŞEHİRLERARASI VE İLÇELER OTOGARI -> KIRŞEHİR MERKEZ TERMİNALİ -> KIRIKKALE OTOBÜS TERMİNALİ -> ANKARA YENİMAHALLE TERMİNALİ (ÖZEL),1617.0,2.0,2023-11-01,2026-04-14,26547.0,3194.0,1.0,2023-01-01,2026-04-14,99791.0
11069592257458297270,89892670438909777,711,2,3,4,"[116, 1719, 720]","[116, 1719, 711, 720]",SOFYA,BÜYÜK İSTANBUL OTOGARI -> KAPIKULE SINIR KAPISI -> PLOVDIV,BÜYÜK İSTANBUL OTOGARI -> KAPIKULE SINIR KAPISI -> SOFYA -> PLOVDIV,,,,,,173.0,1.0,2025-04-24,2025-07-14,3199.0
2487974161595720763,110517739375730714,1346,3,16,17,"[77, 4876, 1395, 80, 1448, 102, 44, 63, 186, 22, 113, 1051, 90, 123, 67, 75]","[77, 4876, 1395, 1346, 80, 1448, 102, 44, 63, 186, 22, 113, 1051, 90, 123, 67, 75]",NİZİP OTOBÜS TERMİNALI,ŞANLIURFA KARAKÖPRÜ TERMİNALİ (ÖZEL) -> ŞANLIURFA-SURUÇ -> ŞANLIURFA BİRECİK IZINLI NOKTA -> GAZİANTEP ŞEHİTKAMİL TERMİNALİ (ÖZEL) -> DÜZİÇİ BELEDİYESİ OTOGARI -> OSMANİYE MERKEZ TERMİNALİ -> ADANA SEYHAN TERMİNALİ -> AKSARAY MERKEZ TERMİNALİ -> ANKARA YENİMAHALLE TERMİNALİ (ÖZEL) -> ESKİŞEHİR TEPEBAŞI TERMİNALİ -> BİLECİK BOZÜYÜK TERMİNALİ -> İNEGÖL ŞEHİRLER ARASI OTOBÜS TERMİNALİ -> BURSA OSMANGAZİ TERMİNALİ -> BURSA GEMLİK TERMİNALİ -> BURSA ORHANGAZİ TERMİNALİ -> YALOVA MERKEZ TERMİNALİ (ÖZEL),ŞANLIURFA KARAKÖPRÜ TERMİNALİ (ÖZEL) -> ŞANLIURFA-SURUÇ -> ŞANLIURFA BİRECİK IZINLI NOKTA -> NİZİP OTOBÜS TERMİNALI -> GAZİANTEP ŞEHİTKAMİL TERMİNALİ (ÖZEL) -> DÜZİÇİ BELEDİYESİ OTOGARI -> OSMANİYE MERKEZ TERMİNALİ -> ADANA SEYHAN TERMİNALİ -> AKSARAY MERKEZ TERMİNALİ -> ANKARA YENİMAHALLE TERMİNALİ (ÖZEL) -> ESKİŞEHİR TEPEBAŞI TERMİNALİ -> BİLECİK BOZÜYÜK TERMİNALİ -> İNEGÖL ŞEHİRLER ARASI OTOBÜS TERMİNALİ -> BURSA OSMANGAZİ TERMİNALİ -> BURSA GEMLİK TERMİNALİ -> BURSA ORHANGAZİ TERMİNALİ -> YALOVA MERKEZ TERMİNALİ (ÖZEL),325.0,1.0,2025-06-16,2026-02-09,11460.0,,,,,
6594137943900167079,120759419049292698,9565,19,21,22,"[9, 184, 122, 136, 13758, 3004, 90, 123, 67, 75, 23, 7037, 94, 18856, 69, 2159, 19216, 19217, 19246, 178, 20479]","[9, 184, 122, 136, 13758, 3004, 90, 123, 67, 75, 23, 7037, 94, 18856, 69, 2159, 19216, 19217, 19246, 9565, 178, 20479]",GÖKÇEBEY BELEDİYE BAŞKANLIĞI,İZMİR BORNOVA TERMİNALİ (ÖZEL) -> MANİSA ŞEHZADELER TERMİNALİ -> MANİSA AKHİSAR TERMİNALİ -> BALIKESİR MERKEZ TERMİNALİ -> SUSURLUK ŞEHİRLERARASI OTOBÜS TERMİNALİ -> MUSTAFAKEMALPAŞA ŞEHİRLERARASI OTOBÜS TERMİNALİ -> BURSA OSMANGAZİ TERMİNALİ -> BURSA GEMLİK TERMİNALİ -> BURSA ORHANGAZİ TERMİNALİ -> YALOVA MERKEZ TERMİNALİ (ÖZEL) -> KOCAELİ MERKEZ TERMİNALİ -> SAKARYA BÜYÜKŞEHİR BELEDİYESİ ARİFİYE TERMİNALİ -> KOCAELİ GEBZE TERMİNALİ -> DÜZCE ULAŞIM HİZMETLERİ A.Ş. (DÜZCE ŞEHİRLERARASI OTOBÜS TERMİNALİ) -> BOLU MERKEZ TERMİNALİ (ÖZEL) -> BOLU YENİÇAĞA TERMİNALİ (ÖZEL) -> MENGEN ŞEHİR TERMİNALİ -> DEVREK BELEDİYESİ TERMİNAL İŞLETMESİ -> ÇAYCUMA ŞEHİRLERARASI OTOBÜS TERMİNALİ -> BARTIN MERKEZ TERMİNALİ -> KOZCAĞIZ İZİNLİ NOKTA,İZMİR BORNOVA TERMİNALİ (ÖZEL) -> MANİSA ŞEHZADELER TERMİNALİ -> MANİSA AKHİSAR TERMİNALİ -> BALIKESİR MERKEZ TERMİNALİ -> SUSURLUK ŞEHİRLERARASI OTOBÜS TERMİNALİ -> MUSTAFAKEMALPAŞA ŞEHİRLERARASI OTOBÜS TERMİNALİ -> BURSA OSMANGAZİ TERMİNALİ -> BURSA GEMLİK TERMİNALİ -> BURSA ORHANGAZİ TERMİNALİ -> YALOVA MERKEZ TERMİNALİ (ÖZEL) -> KOCAELİ MERKEZ TERMİNALİ -> SAKARYA BÜYÜKŞEHİR BELEDİYESİ ARİFİYE TERMİNALİ -> KOCAELİ GEBZE TERMİNALİ -> DÜZCE ULAŞIM HİZMETLERİ A.Ş. (DÜZCE ŞEHİRLERARASI OTOBÜS TERMİNALİ) -> BOLU MERKEZ TERMİNALİ (ÖZEL) -> BOLU YENİÇAĞA TERMİNALİ (ÖZEL) -> MENGEN ŞEHİR TERMİNALİ -> DEVREK BELEDİYESİ TERMİNAL İŞLETMESİ -> ÇAYCUMA ŞEHİRLERARASI OTOBÜS TERMİNALİ -> GÖKÇEBEY BELEDİYE BAŞKANLIĞI -> BARTIN MERKEZ TERMİNALİ -> KOZCAĞIZ İZİNLİ NOKTA,,,,,,1.0,1.0,2026-03-22,2026-03-22,63.0
7435725302529821771,202369679689151970,51,1,5,6,"[186, 105, 82, 195, 3001]","[186, 51, 105, 82, 195, 3001]",ANKARA ÇANKAYA TERMİNALİ (ÖZEL),ANKARA YENİMAHALLE TERMİNALİ (ÖZEL) -> KONYA SELÇUKLU TERMİNALİ -> KONYA SEYDİŞEHİR TERMİNALİ (ÖZEL) -> ANTALYA MANAVGAT TERMİNALİ (ÖZEL) -> ALANYA İLÇESİ ŞEHİRLERARASI OTOBÜS TERMİNALİ,ANKARA YENİMAHALLE TERMİNALİ (ÖZEL) -> ANKARA ÇANKAYA TERMİNALİ (ÖZEL) -> KONYA SELÇUKLU TERMİNALİ -> KONYA SEYDİŞEHİR TERMİNALİ (ÖZEL) -> ANTALYA MANAVGAT TERMİNALİ (ÖZEL) -> ALANYA İLÇESİ ŞEHİRLERARASI OTOBÜS TERMİNALİ,,,,,,264.0,1.0,2024-09-17,2025-09-28,8049.0
15862680042361233652,217887901359526522,754,2,3,4,"[116, 1712, 745]","[116, 1712, 754, 745]",MEDGIDIA,BÜYÜK İSTANBUL OTOGARI -> DEREKÖY SINIR KAPISI -> CONSTANTA,BÜYÜK İSTANBUL OTOGARI -> DEREKÖY SINIR KAPISI -> MEDGIDIA -> CONSTANTA,343.0,1.0,2024-08-20,2026-04-14,5224.0,,,,,
3783027302799674920,250363401439166621,15016,2,9,10,"[116, 78, 94, 90, 9, 1645, 3003, 121, 145]","[116, 78, 15016, 94, 90, 9, 1645, 3003, 121, 145]",DUDULLU İZİNLİ NOKTA,BÜYÜK İSTANBUL OTOGARI -> İSTANBUL EYÜP-ALİBEYKÖY YOLCU TERMALİ  (ÖZEL) -> KOCAELİ GEBZE TERMİNALİ -> BURSA OSMANGAZİ TERMİNALİ -> İZMİR BORNOVA TERMİNALİ (ÖZEL) -> İZMİR BÜYÜKŞEHİR BELEDİYESİ   SELÇUK ŞEHİRLERARASI OTOBÜS TERMİNALİ -> AYDIN KUŞADASI TERMİNALİ -> AYDIN SÖKE TERMİNALİ -> AYDIN DİDİM TERMİNALİ,BÜYÜK İSTANBUL OTOGARI -> İSTANBUL EYÜP-ALİBEYKÖY YOLCU TERMALİ  (ÖZEL) -> DUDULLU İZİNLİ NOKTA -> KOCAELİ GEBZE TERMİNALİ -> BURSA OSMANGAZİ TERMİNALİ -> İZMİR BORNOVA TERMİNALİ (ÖZEL) -> İZMİR BÜYÜKŞEHİR BELEDİYESİ   SELÇUK ŞEHİRLERARASI OTOBÜS TERMİNALİ -> AYDIN KUŞADASI TERMİNALİ -> AYDIN SÖKE TERMİNALİ -> AYDIN DİDİM TERMİNALİ,,,,,,8456.0,1.0,2023-01-01,2026-04-14,441896.0
2343046103894513385,307835421741108654,78,2,5,6,"[155, 116, 206, 117, 103]","[155, 116, 78, 206, 117, 103]",İSTANBUL EYÜP-ALİBEYKÖY YOLCU TERMALİ  (ÖZEL),İSTANBUL ÜSKÜDAR TERMİNALİ -> BÜYÜK İSTANBUL OTOGARI -> TEKİRDAĞ SÜLEYMANPAŞA TERMİNALİ -> TEKİRDAĞ MALKARA TERMİNALİ -> EDİRNE KEŞAN TERMİNALİ,İSTANBUL ÜSKÜDAR TERMİNALİ -> BÜYÜK İSTANBUL OTOGARI -> İSTANBUL EYÜP-ALİBEYKÖY YOLCU TERMALİ  (ÖZEL) -> TEKİRDAĞ SÜLEYMANPAŞA TERMİNALİ -> TEKİRDAĞ MALKARA TERMİNALİ -> EDİRNE KEŞAN TERMİNALİ,1428.0,1.0,2023-04-20,2025-04-25,7087.0,,,,,
264506078323937940,315795224765789922,50,3,4,5,"[9, 36, 147, 186]","[9, 36, 147, 50, 186]",UŞAK MERKEZ TERMİNALİ,İZMİR BORNOVA TERMİNALİ (ÖZEL) -> MANİSA TURGUTLU TERMİNALİ (ÖZEL) -> MANİSA SALİHLİ TERMİNALİ -> ANKARA YENİMAHALLE TERMİNALİ (ÖZEL),İZMİR BORNOVA TERMİNALİ (ÖZEL) -> MANİSA TURGUTLU TERMİNALİ (ÖZEL) -> MANİSA SALİHLİ TERMİNALİ -> UŞAK MERKEZ TERMİNALİ -> ANKARA YENİMAHALLE TERMİNALİ (ÖZEL),3445.0,1.0,2023-05-29,2025-09-01,106803.0,170.0,1.0,2024-03-29,2024-09-06,5819.0
